average_song_duration_in_minitues, date
3.4750666666666663, 2013-12-13
3.4750666666666663, 2013-12-20
3.7268833333333333, 2013-12-27
3.8786666666666667, 2014-01-03
3.4026666666666667, 2014-01-10
3.8786666666666667, 2014-01-17
3.8786666666666667, 2014-01-24
3.7972166666666665, 2014-01-31
3.7972166666666665, 2014-02-07
3.7972166666666665, 2014-02-14
3.7972166666666665, 2014-02-21
3.2111666666666663, 2014-02-28
3.8786666666666667, 2014-03-07
4.332233333333334, 2014-03-14
0.49633333333333335, 2014-03-21
3.4386666666666668, 2014-03-28
3.3749333333333333, 2014-04-04
4.248, 2014-04-11
3.1611166666666666, 2014-04-18
4.199783333333333, 2014-04-25
3.4688833333333333, 2014-05-02
3.708883333333333, 2014-05-09
3.4688833333333333, 2014-05-16
3.391116666666667, 2014-05-23
2.8787333333333334, 2014-05-30
3.101116666666667, 2014-06-06
3.9230333333333336, 2014-06-13
3.55355, 2014-06-20
3.55355, 2014-06-27
2.75735, 2014-07-04
3.0366666666666666, 2014-07-11
4.872883333333333, 2014-07-18
3.2288833333333335, 2014-07-25
3.466266666666667, 2014-08-01
3.747333333333333, 2014-08-08
4.097783333333333, 2014-08-15
4.097783333333333, 2014-08-22
4.084, 2014-08-29
3.1568833333333335, 2014-09-05
3.1568833333333335, 2014-09-12
3.708883333333333, 2014-09-19
5.8292, 2014-09-26
3.3231166666666665, 2014-10-03
3.1319999999999997, 2014-10-10
3.1319999999999997, 2014-10-17
3.1319999999999997, 2014-10-24
3.1319999999999997, 2014-10-31
4.692666666666667, 2014-11-07
4.001233333333333, 2014-11-14
0, 2014-11-21
3.8152666666666666, 2014-11-28
3.8663499999999997, 2014-12-05
4.692666666666667, 2014-12-12
4.49445, 2014-12-19
3.76845, 2014-12-26
4.49445, 2015-01-02
4.49445, 2015-01-09
4.49445, 2015-01-16
4.49445, 2015-01-23
4.49445, 2015-01-30
4.49445, 2015-02-06
4.2089, 2015-02-13
4.2089, 2015-02-20
4.2089, 2015-02-27
4.2089, 2015-03-06
3.5893333333333337, 2015-03-13
2.8505, 2015-03-20
2.8505, 2015-03-27
3.7890666666666664, 2015-04-03
3.7890666666666664, 2015-04-10
3.7890666666666664, 2015-04-17
3.8254333333333337, 2015-04-24
3.8254333333333337, 2015-05-01
3.009333333333333, 2015-05-08
3.009333333333333, 2015-05-15
3.009333333333333, 2015-05-22
3.009333333333333, 2015-05-29
3.4619833333333334, 2015-06-05
3.4619833333333334, 2015-06-12
3.4619833333333334, 2015-06-19
3.4619833333333334, 2015-06-26
3.6593333333333335, 2015-07-03
3.046116666666667, 2015-07-10
3.52955, 2015-07-17
3.52955, 2015-07-24
3.52955, 2015-07-31
3.202, 2015-08-07
2.671483333333333, 2015-08-14
0, 2015-08-21
3.4002166666666667, 2015-08-28
3.50585, 2015-09-04
3.8302166666666664, 2015-09-11
3.50585, 2015-09-18
3.50585, 2015-09-25
4.649783333333334, 2015-10-02
3.50585, 2015-10-09
3.50585, 2015-10-16
2.32, 2015-10-23
4.924883333333333, 2015-10-30
4.924883333333333, 2015-11-06
4.924883333333333, 2015-11-13
4.25555, 2015-11-20
4.25555, 2015-11-27
3.8953333333333333, 2015-12-04
3.8953333333333333, 2015-12-11
3.8953333333333333, 2015-12-18
4.1686000000000005, 2015-12-25
3.8953333333333333, 2016-01-01
3.8953333333333333, 2016-01-08
3.8953333333333333, 2016-01-15
3.4346666666666668, 2016-01-22
3.4346666666666668, 2016-01-29
3.379116666666667, 2016-02-05
3.955, 2016-02-12
3.955, 2016-02-19
3.955, 2016-02-26
3.955, 2016-03-04
3.955, 2016-03-11
3.2988833333333334, 2016-03-18
3.2988833333333334, 2016-03-25
3.2988833333333334, 2016-04-01
3.2988833333333334, 2016-04-08
4.11765, 2016-04-15
4.11765, 2016-04-22
4.11765, 2016-04-29
4.11765, 2016-05-06
4.11765, 2016-05-13
4.11765, 2016-05-20
4.11765, 2016-05-27
4.11765, 2016-06-03
4.11765, 2016-06-10
4.11765, 2016-06-17
4.11765, 2016-06-24
4.11765, 2016-07-01
4.11765, 2016-07-08
4.11765, 2016-07-15
4.11765, 2016-07-22
3.0893333333333337, 2016-07-29
3.0893333333333337, 2016-08-05
3.0893333333333337, 2016-08-12
3.0893333333333337, 2016-08-19
3.0893333333333337, 2016-08-26
3.627333333333333, 2016-09-02
3.627333333333333, 2016-09-09
3.627333333333333, 2016-09-16
3.627333333333333, 2016-09-23
3.5244500000000003, 2016-09-30
3.5244500000000003, 2016-10-07
3.5244500000000003, 2016-10-14
4.104, 2016-10-21
4.104, 2016-10-28
4.104, 2016-11-04
4.1848, 2016-11-11
4.1848, 2016-11-18
4.1848, 2016-11-25
4.1848, 2016-12-02
4.1848, 2016-12-09
4.1848, 2016-12-16
4.1848, 2016-12-23
4.1848, 2016-12-30
4.1848, 2017-01-06
3.8952166666666668, 2017-01-13
3.8952166666666668, 2017-01-20
3.8952166666666668, 2017-01-27
3.8952166666666668, 2017-02-03
3.8952166666666668, 2017-02-10
3.8952166666666668, 2017-02-17
3.8952166666666668, 2017-02-24
3.8952166666666668, 2017-03-03
3.8952166666666668, 2017-03-10
3.8952166666666668, 2017-03-17
3.8952166666666668, 2017-03-24
3.8952166666666668, 2017-03-31
3.8952166666666668, 2017-04-07
5.67845, 2017-04-14
3.8952166666666668, 2017-04-21
3.7972166666666665, 2017-04-28
4.814616666666667, 2017-05-05
3.8137833333333333, 2017-05-12
3.8137833333333333, 2017-05-19
3.8137833333333333, 2017-05-26
3.8137833333333333, 2017-06-02
3.8137833333333333, 2017-06-09
3.8137833333333333, 2017-06-16
3.889883333333333, 2017-06-23
3.8137833333333333, 2017-06-30
3.8137833333333333, 2017-07-07
3.8137833333333333, 2017-07-14
4.814616666666667, 2017-07-21
3.8137833333333333, 2017-07-28
3.8137833333333333, 2017-08-04
3.7235500000000004, 2017-08-11
3.4886666666666666, 2017-08-18
3.4886666666666666, 2017-08-25
3.5308833333333336, 2017-09-01
3.5308833333333336, 2017-09-08
3.35, 2017-09-15
3.35, 2017-09-22
3.35, 2017-09-29
3.588, 2017-10-06
3.588, 2017-10-13
3.588, 2017-10-20
3.588, 2017-10-27
2.845766666666667, 2017-11-03
2.845766666666667, 2017-11-10
2.845766666666667, 2017-11-17
2.845766666666667, 2017-11-24
2.845766666666667, 2017-12-01
4.39, 2017-12-08
4.39, 2017-12-15
4.39, 2017-12-22
4.39, 2017-12-29
4.39, 2018-01-05
4.39, 2018-01-12
3.5133333333333336, 2018-01-19
3.316216666666667, 2018-01-26
3.316216666666667, 2018-02-02
3.316216666666667, 2018-02-09
3.316216666666667, 2018-02-16
3.316216666666667, 2018-02-23
3.316216666666667, 2018-03-02
3.316216666666667, 2018-03-09
3.316216666666667, 2018-03-16
3.316216666666667, 2018-03-23
3.5128833333333334, 2018-03-30
3.6105333333333336, 2018-04-06
3.5124500000000003, 2018-04-13
3.5807833333333337, 2018-04-20
3.5807833333333337, 2018-04-27
3.5807833333333337, 2018-05-04
3.5807833333333337, 2018-05-11
3.5807833333333337, 2018-05-18
3.5807833333333337, 2018-05-25
3.5807833333333337, 2018-06-01
3.5807833333333337, 2018-06-08
3.232066666666667, 2018-06-15
3.7972166666666665, 2018-06-22
3.3547833333333332, 2018-06-29
3.3547833333333332, 2018-07-06
3.7786666666666666, 2018-07-13
3.6320833333333336, 2018-07-20
3.6320833333333336, 2018-07-27
3.6320833333333336, 2018-08-03
3.6320833333333336, 2018-08-10
